525,Rolling Hills Cc,Monroe,NC
526,Kilmarlic Gc - Kilmarlic Gc,Harbinger,NC
527,Meadowbrook Gc,Garner,NC
528,Carolina National Gc - Egret To Heron,Bolivia,NC
529,Carolina National Gc - Heron To Ibis,Bolivia,NC
530,Carolina National Gc - Ibis To Egret,Bolivia,NC
531,Badin Inn Gc,Badin,NC
532,Whispering Woods Gc,Whispering Pines,NC
533,Scotch Hall Preserve,Merry Hill,NC
534,Northstone Country Club - Northstone Country Club,Huntersville,NC
536,Crow Creek Gc - Crow Creek Gc,Calabash,NC
537,St James Plantation - Reserve Club,Southport,NC
538,Chapel Ridge Gc,Pittsboro,NC
539,Plymouth Cc,Plymouth,NC
540,Divide - Divide,Matthews,NC
541,Kings Mountain Cc,Kings Mountain,NC
543,Woodbridge Gc,Kings Mountain,NC
544,Wil-Mar Cc - Wil-Mar Cc,Raleigh,NC
545,Keith Hills Cc - Orange To White,Buies Creek,NC
546,Keith Hills Cc - Black To White,Buies Creek,NC
547,Willow Springs Cc,Wilson,NC
550,Rock Barn G & Cc - Jackson Course,Conover,NC
551,Bright'S Creek Gc,Mill Spring,NC
553,Rockfish Cc,Wallace,NC
554,Oak Island Gc - Oak Island Gc,Caswell Beach,NC
556,Coves At Round Mountain,Lenoir,NC
557,Pine Mountain Gc,Connelly Springs,NC
558,Cape Fear National Gc,Leland,NC
560,Quail Hollow Cc,Charlotte,NC
561,Iron Tree Gc,Clyde,NC
562,Bermuda Run Cc - East Course,Bermuda Run,NC
563,Old Edwards Club - Old Edwards Club,Cashiers,NC
564,Trump National Gc-Charlotte,Mooresville,NC
565,Baywood Gc - Baywood Gc,Fayetteville,NC
566,Lincoln Cc,Lincolnton,NC
567,Beacon Ridge Cc,West End,NC
568,Greensboro Cc - Farm Course,Greensboro,NC
569,Hickory Meadows Gc,Whitakers,NC
571,Rumbling Bald Resort - Apple Valley,Lake Lure,NC
572,Rumbling Bald Resort - Bald Mountain,Lake Lure,NC
573,Farmville G&Cc,Farmville,NC
574,Maple Chase G&Cc - Maple Chase G&Cc,Winston-Salem,NC
575,Sequoyah National Gc,Cherokee,NC
576,Colonial Cc,Thomasville,NC
577,Reynolds Park Gc,Winston-Salem,NC
578,Deer Brook Gc,Shelby,NC
579,Prestonwood Cc - Meadows,Cary,NC
580,Masonboro Cc - Masonboro Cc,Wilmington,NC
581,Tpc At Piper Glen,Charlotte,NC
583,Granada Farms Cc - Granada Farms Cc,Granite Falls,NC
584,Wildcat Cliffs Cc,Highlands,NC
585,Nags Head Gl,Nags Head,NC
586,Cutter Creek Gc - Cutter Creek Gc,Snow Hill,NC
587,Hyland Gc,Southern Pines,NC
588,Sanford Gc,Sanford,NC
589,Tanglewood Park - Championship Course,Clemmons,NC
590,Cedarwood Cc,Charlotte,NC
591,Chinquapin,Cashiers,NC
592,Hope Valley Cc,Durham,NC
593,Mill Creek Gc,Mebane,NC
595,Linville Ridge Cc - Linville Ridge Cc,Linville,NC
596,Charlotte National Gc,Indian Trail,NC
597,Reems Creek Gc,Weaverville,NC
598,Lane Tree Gc,Goldsboro,NC
600,Cliffs At Walnut Cove - Cliffs At Walnut Cove,Arden,NC
601,North Ridge Cc - Inside Course,Raleigh,NC
602,Ocean Ridge Plantation - Tiger'S Eye Course,Sunset Beach,NC
603,Larkin Gc - Larkin Gc,Stateville,NC
604,Asheboro Cc,Asheboro,NC
605,Broadmoor Gl,Fletcher,NC
606,Highlands Cc,Highlands,NC
607,Henderson Cc,Henderson,NC
608,Forest Oaks Cc,Greensboro,NC
609,Belvedere Cc - Belvedere Cc,Hampstead,NC
610,Minnesott G&Cc - Minnesott G&Cc,Arapahoe,NC
611,Rutherfordton Gc,Rutherfordton,NC
612,High Point Cc - Willow Creek,High Point,NC
613,Falling Creek Cc,Kinston,NC
614,Cape Fear Cc,Wilmington,NC
615,Chockoyotte Cc,Weldon,NC
616,Olde Sycamore,Charlotte,NC
617,Lakewood Gc,Statesville,NC
619,Crowne Plaza Resort,Asheville,NC
620,Grove Park Inn Gc - Grove Park Inn Gc,Asheville,NC
622,Anderson Creek Gc,Spring Lake,NC
623,Red Bridge G&Cc,Locust,NC
624,Lockwood Folly Cc,Supply,NC
625,Devils Ridge Gc,Holly Springs,NC
626,Sedgefield Cc - Ross Course,Greensboro,NC
627,Corbin Hills Gc,Salisbury,NC
628,Lonnie Poole Gc At N.C. State University,Raleigh,NC
629,Dogwood Valley Gc,Forest City,NC
630,Scotfield Cc,Enfield,NC
631,Star Hill Gc - Pines-Lakes,Cape Carteret,NC
632,Cc Of Asheville - Cc Of Asheville,Asheville,NC
633,Lakes Cc,Southport,NC
636,Ballantyne Cc,Charlotte,NC
637,Monroe Cc,Monroe,NC
639,Neuse Gc,Clayton,NC
640,Statesville Cc,Statesville,NC
641,Rocky River Gc,Concord,NC
642,Tobacco Road Gc - Tobacco Road Gc,Sanford,NC
643,Carolina Gc,Charlotte,NC
645,Forest Creek Gc - North Course,Pinehurst,NC
646,Myers Park Cc,Charlotte,NC
647,Cc Of Johnston County,Smithfield,NC
648,Goldsboro Municipal Gc,Goldsboro,NC
649,Dan Valley Gc,Stoneville,NC
651,Hasentree Club,Wake Forest,NC
652,St James Plantation - Players Club,Southport,NC
653,Green Hill Cc - Green Hill Cc,Louisburg,NC
654,Cowans Ford Cc,Stanley,NC
655,Woodlake Club - Palmer Course,Vass,NC
656,St James Plantation - Founders Club,Southport,NC
657,Lake Winds Gc,Rougemont,NC
658,Dawn Acres Gc,Stokesdale,NC
659,Laurel Ridge Cc,Waynesville,NC
660,Bear Lake Gc,Tuckasegee,NC
661,Little River Gc,Carthage,NC
662,Southern Wayne Cc - Southern Wayne Cc,Mt. Olive,NC
663,Balsam Mountain Preserve,Sylva,NC
664,Linville Falls Golf Club,North Cove,NC
665,Woodlake Club - Maples Course,Vass,NC
666,Lake Toxaway Cc,Lake Toxaway,NC
667,Forest Creek Gc - South Course,Pinehurst,NC
668,Tryon Cc,Tryon,NC
669,Challenge Gc,Graham,NC
670,Southern Pines Gc,Southern Pines,NC
672,Indian Valley Gc,Burlington,NC
673,Deercroft Gc,Wagram,NC
