Adak,AK,Aleutians West,"(51.8768,-176.6359)"
Akhiok,AK,Kodiak Island,"(56.9453,-154.2138)"
Akiachak,AK,Bethel,"(60.9193,-161.4007)"
Akiak,AK,Bethel,"(60.9062,-161.2123)"
Akutan,AK,Aleutians East,"(54.1594,-165.7328)"
Alakanuk,AK,Kusilvak,"(62.6893,-164.6303)"
Alatna,AK,Yukon-Koyukuk,"(66.5639,-152.8379)"
Aleknagik,AK,Dillingham,"(59.2954,-158.6922)"
Aleneva,AK,Kodiak Island,"(58.059,-152.9091)"
Allakaket,AK,Yukon-Koyukuk,"(66.5649,-152.6453)"
Ambler,AK,Northwest Arctic,"(67.0877,-157.8722)"
Anaktuvuk Pass,AK,North Slope,"(68.1545,-151.7097)"
Anchor Point,AK,Kenai Peninsula,"(59.7703,-151.7052)"
Anchorage,AK,Anchorage,"(61.1508,-149.1091)"
Anderson,AK,Denali,"(64.3077,-149.155)"
Angoon,AK,Hoonah-Angoon,"(57.4563,-134.4998)"
Aniak,AK,Bethel,"(61.5818,-159.5448)"
Anvik,AK,Yukon-Koyukuk,"(62.6523,-160.2143)"
Arctic Village,AK,Yukon-Koyukuk,"(68.1421,-145.4957)"
Atka,AK,Aleutians West,"(52.2332,-174.2171)"
Atmautluak,AK,Bethel,"(60.8618,-162.2852)"
Atqasuk,AK,North Slope,"(70.4829,-157.3864)"
Auke Bay,AK,Juneau,"(58.3833,-134.6597)"
Aurora Lodge,AK,Fairbanks North Star,"(64.4706,-146.9386)"
Badger,AK,Fairbanks North Star,"(64.8007,-147.3879)"
Bear Creek,AK,Kenai Peninsula,"(60.2073,-149.3524)"
Beaver,AK,Yukon-Koyukuk,"(66.3832,-147.3218)"
Beluga,AK,Kenai Peninsula,"(61.1873,-151.1633)"
Bethel,AK,Bethel,"(60.7905,-161.7927)"
Bettles,AK,Yukon-Koyukuk,"(66.9064,-151.5377)"
Big Delta,AK,Southeast Fairbanks,"(64.1492,-145.746)"
Big Lake,AK,Matanuska-Susitna,"(61.5266,-149.9714)"
Birch Creek,AK,Yukon-Koyukuk,"(66.2669,-145.8681)"
Brevig Mission,AK,Nome,"(65.3415,-166.4934)"
Buckland,AK,Northwest Arctic,"(65.98,-161.1313)"
Butte,AK,Matanuska-Susitna,"(61.5539,-149.0035)"
Cantwell,AK,Denali,"(63.3792,-148.8158)"
Central,AK,Yukon-Koyukuk,"(65.5213,-144.6409)"
Chalkyitsik,AK,Yukon-Koyukuk,"(66.6468,-143.7822)"
Chase,AK,Matanuska-Susitna,"(62.4624,-149.9371)"
Chefornak,AK,Bethel,"(60.1534,-164.2534)"
Chevak,AK,Kusilvak,"(61.529,-165.5904)"
Chickaloon,AK,Matanuska-Susitna,"(61.804,-148.4103)"
Chicken,AK,Southeast Fairbanks,"(64.0878,-141.8283)"
Chignik,AK,Lake and Peninsula,"(56.2968,-158.4129)"
Chignik Lagoon,AK,Lake and Peninsula,"(56.3045,-158.4986)"
Chignik Lake,AK,Lake and Peninsula,"(56.2631,-158.8049)"
Chiniak,AK,Kodiak Island,"(57.5775,-152.2743)"
Chisana,AK,Valdez-Cordova,"(62.0959,-142.0278)"
Chistochina,AK,Valdez-Cordova,"(62.5921,-144.8136)"
Chitina,AK,Valdez-Cordova,"(61.5276,-144.2991)"
Chuathbaluk,AK,Bethel,"(61.575,-159.2497)"
Chugiak,AK,Anchorage,"(61.3889,-149.4819)"
Circle,AK,Yukon-Koyukuk,"(65.7936,-144.1813)"
Clam Gulch,AK,Kenai Peninsula,"(60.2001,-151.3939)"
Clarks Point,AK,Dillingham,"(58.8332,-158.5292)"
Coffman Cove,AK,Prince of Wales-Hyder,"(56.0042,-132.8378)"
Cohoe,AK,Kenai Peninsula,"(60.2681,-151.2843)"
Cold Bay,AK,Aleutians East,"(55.2128,-162.7474)"
Coldfoot,AK,Yukon-Koyukuk,"(67.2475,-150.1079)"
College,AK,Fairbanks North Star,"(64.8693,-147.8216)"
Colorado,AK,Matanuska-Susitna,"(63.1628,-149.4358)"
Cooper Landing,AK,Kenai Peninsula,"(60.4945,-149.8409)"
Copper Center,AK,Valdez-Cordova,"(61.9845,-145.3544)"
Cordova,AK,Valdez-Cordova,"(60.5361,-145.6131)"
Cottonwood,AK,Matanuska-Susitna,"(61.5133,-149.5642)"
Covenant Life,AK,Haines,"(59.3998,-136.0948)"
Craig,AK,Prince of Wales-Hyder,"(55.4924,-133.1146)"
Crooked Creek,AK,Bethel,"(61.8439,-158.1082)"
Crown Point,AK,Kenai Peninsula,"(60.4267,-149.3529)"
Curry,AK,Matanuska-Susitna,"(62.6147,-150.0119)"
Deadhorse,AK,North Slope,"(70.2056,-148.5117)"
Deering,AK,Northwest Arctic,"(66.0726,-162.7447)"
Delta Junction,AK,Southeast Fairbanks,"(64.0603,-145.6936)"
Denali Park,AK,Denali,"(63.5909,-148.7107)"
Diamond Ridge,AK,Kenai Peninsula,"(59.7024,-151.5546)"
Dillingham,AK,Dillingham,"(59.0549,-158.5376)"
Diomede,AK,Nome,"(65.7538,-168.9216)"
Dot Lake,AK,Southeast Fairbanks,"(63.5749,-144.1815)"
Dot Lake Village,AK,Southeast Fairbanks,"(63.6622,-144.016)"
Douglas,AK,Juneau,"(58.2756,-134.3925)"
Dry Creek,AK,Southeast Fairbanks,"(63.6255,-144.6364)"
Eagle,AK,Southeast Fairbanks,"(64.7801,-141.1933)"
Eagle River,AK,Anchorage,"(61.3214,-149.5678)"
Eagle Village,AK,Southeast Fairbanks,"(64.7434,-141.1138)"
Edna Bay,AK,Prince of Wales-Hyder,"(55.9645,-133.6665)"
Eek,AK,Bethel,"(60.2158,-162.031)"
Egegik,AK,Lake and Peninsula,"(58.2205,-157.4013)"
Ekwok,AK,Dillingham,"(59.347,-157.4841)"
Elfin Cove,AK,Hoonah-Angoon,"(58.1913,-136.3128)"
Elim,AK,Nome,"(64.6184,-162.2736)"
Ellamar,AK,Valdez-Cordova,"(60.8956,-146.6975)"
Emmonak,AK,Kusilvak,"(62.7797,-164.5349)"
Eska,AK,Matanuska-Susitna,"(61.7378,-148.9086)"
Ester,AK,Fairbanks North Star,"(64.8646,-148.0916)"
Eureka Roadhouse,AK,Matanuska-Susitna,"(61.9648,-147.1517)"
Evansville,AK,Yukon-Koyukuk,"(66.9209,-151.4187)"
Excursion Inlet,AK,Haines,"(58.4344,-135.3727)"
Fairbanks,AK,Fairbanks North Star,"(64.8353,-147.6533)"
False Pass,AK,Aleutians East,"(54.8499,-163.3509)"
Ferry,AK,Denali,"(64.0496,-148.9205)"
Flat,AK,Yukon-Koyukuk,"(62.4415,-158.0405)"
Fort Yukon,AK,Yukon-Koyukuk,"(66.5809,-145.2412)"
Fox,AK,Fairbanks North Star,"(64.9749,-147.609)"
Fox River,AK,Kenai Peninsula,"(59.8723,-150.9984)"
Fritz Creek,AK,Kenai Peninsula,"(59.747,-151.2884)"
Funny River,AK,Kenai Peninsula,"(60.4873,-150.7809)"
Gakona,AK,Valdez-Cordova,"(62.3608,-145.2656)"
Galena,AK,Yukon-Koyukuk,"(64.7387,-156.8584)"
Gambell,AK,Nome,"(63.7523,-171.6881)"
Game Creek,AK,Hoonah-Angoon,"(58.0553,-135.508)"
Gateway,AK,Matanuska-Susitna,"(61.5738,-149.239)"
Girdwood,AK,Anchorage,"(60.9425,-149.1664)"
Glennallen,AK,Valdez-Cordova,"(62.1278,-145.7693)"
Golovin,AK,Nome,"(64.5637,-163.001)"
Goodnews Bay,AK,Bethel,"(59.1287,-161.5758)"
Grayling,AK,Yukon-Koyukuk,"(62.8994,-160.1072)"
Gulkana,AK,Valdez-Cordova,"(62.2152,-145.4449)"
Gustavus,AK,Hoonah-Angoon,"(58.4274,-135.7494)"
Haines,AK,Haines,"(59.2419,-135.4549)"
Halibut Cove,AK,Kenai Peninsula,"(59.5744,-151.2296)"
Happy Valley,AK,Kenai Peninsula,"(59.9137,-151.6072)"
Healy,AK,Denali,"(63.9454,-149.0152)"
Healy Lake,AK,Southeast Fairbanks,"(64.0281,-144.633)"
Hobart Bay,AK,Petersburg Borough,"(57.4212,-133.3231)"
Hollis,AK,Prince of Wales-Hyder,"(55.5113,-132.7023)"
